"","ticker","open","high","low","close","volume","OPCL","pvCLCL","prevAdjClose","SPpvCLCL","sharesOut","PERMNO","SICCD","PERMCO","prevRawOpen","prevRawClose","prevAdjOpen"
"1","SPY",148.25,148.25,143.875,145.4375,8164299,-0.019154,-0.009787,146.87,-0.009549,27109,84398,"6726",46699,146.84375,146.875,146.84
"2","XLF",23.71875,23.71875,22.71875,22.875,963200,-0.036221,-0.037475,23.77,-0.009549,17000,86455,"6726",34957,24,23.76563,24
"3","XLB",26.67188,26.6875,25.9375,25.96875,140500,-0.026716,-0.022928,26.58,-0.009549,5250,86449,"6726",34957,26,26.57813,26.01
"4","XLK",55.625,55.625,53.5,55.4375,938100,-0.003376,0.029002,53.88,-0.009549,20000,86457,"6726",34957,54.15625,53.875,54.16
"5","XLV",31,31,30.0625,30.29688,246700,-0.022942,-0.019221,30.89,-0.009549,2800,86451,"6726",34957,30.59375,30.89063,30.6
"6","XLI",29.48438,29.48438,28.6875,28.84375,82800,-0.021967,-0.025858,29.61,-0.009549,3150,86456,"6726",34957,29.28125,29.60938,29.28
"7","XLU",27.9375,28.9375,27.21875,27.45313,176700,-0.01749,-0.024431,28.14,-0.009549,2400,86458,"6726",34957,28.10938,28.14063,28.11
"8","XLY",31,31,29.85938,30.125,212900,-0.028632,-0.030181,31.06,-0.009549,4150,86453,"6726",34957,30.96875,31.0625,30.97
"9","XLP",23.125,23.125,22.46875,22.75,634300,-0.016349,-0.012212,23.03,-0.009549,9850,86452,"6726",34957,23.01563,23.03125,23.02
"10","XLE",27.3125,27.3125,26.375,26.5625,380300,-0.027844,-0.019608,27.09,-0.009549,9100,86454,"6726",34957,27,27.09375,27
"11","AA",82,83.5625,80.375,80.9375,1551299,-0.013042,-0.024849,83,-0.009549,366407,24643,"3334",20060,80.8125,83,80.84
"12","AAC",4.4375,4.625,4.4375,4.5625,121400,0.02778,0.028169,4.44,-0.009549,39444,77297,"6153",11318,4.4375,4.4375,4.44
