,date,signal,target,qrank,stat_type,value
65,20000104,signal_RR_1d,fret_MR_1d,qr_100,sharpe,-2.6727239635031106
66,20000104,signal_RR_1d,fret_RR_3d,qr_100,sharpe,0.49209735031083046
67,20000104,signal_RR_1d,fret_MR_3d,qr_100,sharpe,-2.2286653259342044
68,20000104,signal_RR_1d,fret_RR_1d,qr_75,sharpe,2.531169750474574
69,20000104,signal_RR_1d,fret_MR_1d,qr_75,sharpe,-3.1563880640297155
70,20000104,signal_RR_1d,fret_RR_3d,qr_75,sharpe,0.6235477504733853
71,20000104,signal_RR_1d,fret_MR_3d,qr_75,sharpe,-2.588304057580772
72,20000104,signal_RR_1d,fret_RR_1d,qr_50,sharpe,3.0778226760861043
73,20000104,signal_RR_1d,fret_MR_1d,qr_50,sharpe,-3.8267684009304808
74,20000104,signal_RR_1d,fret_RR_3d,qr_50,sharpe,0.8634072100487685
75,20000104,signal_RR_1d,fret_MR_3d,qr_50,sharpe,-3.049960052834729
76,20000104,signal_RR_1d,fret_RR_1d,qr_25,sharpe,2.1968854684713013
77,20000104,signal_RR_1d,fret_MR_1d,qr_25,sharpe,-3.727138343138153
78,20000104,signal_RR_1d,fret_RR_3d,qr_25,sharpe,0.7017785544464678
79,20000104,signal_RR_1d,fret_MR_3d,qr_25,sharpe,-2.489582465005359
80,20000104,signal_MR_1d,fret_RR_1d,qr_100,sharpe,-4.166352603654833
81,20000104,signal_MR_1d,fret_MR_1d,qr_100,sharpe,4.26700687601502
82,20000104,signal_MR_1d,fret_RR_3d,qr_100,sharpe,-0.6712576745994028
83,20000104,signal_MR_1d,fret_MR_3d,qr_100,sharpe,4.245324451036783
84,20000104,signal_MR_1d,fret_RR_1d,qr_75,sharpe,-4.703664590864136
85,20000104,signal_MR_1d,fret_MR_1d,qr_75,sharpe,5.430376071833166
86,20000104,signal_MR_1d,fret_RR_3d,qr_75,sharpe,-0.6272847076287881
87,20000104,signal_MR_1d,fret_MR_3d,qr_75,sharpe,5.296977569122594
88,20000104,signal_MR_1d,fret_RR_1d,qr_50,sharpe,-5.083235726092555
89,20000104,signal_MR_1d,fret_MR_1d,qr_50,sharpe,6.415114190176519
90,20000104,signal_MR_1d,fret_RR_3d,qr_50,sharpe,-0.6314143967883474
91,20000104,signal_MR_1d,fret_MR_3d,qr_50,sharpe,6.336536410884406
92,20000104,signal_MR_1d,fret_RR_1d,qr_25,sharpe,-5.542482432595493
93,20000104,signal_MR_1d,fret_MR_1d,qr_25,sharpe,6.813981664104672
94,20000104,signal_MR_1d,fret_RR_3d,qr_25,sharpe,-0.6685463662758481
95,20000104,signal_MR_1d,fret_MR_3d,qr_25,sharpe,6.298527092914813
96,20000104,signal_RR_1d,fret_RR_1d,qr_100,hit_ratio,0.5067250547388177
97,20000104,signal_RR_1d,fret_MR_1d,qr_100,hit_ratio,0.3725367532061307
98,20000104,signal_RR_1d,fret_RR_3d,qr_100,hit_ratio,0.464116345241859
99,20000104,signal_RR_1d,fret_MR_3d,qr_100,hit_ratio,0.38349668036674045
100,20000104,signal_RR_1d,fret_RR_1d,qr_75,hit_ratio,0.5508757297748124
101,20000104,signal_RR_1d,fret_MR_1d,qr_75,hit_ratio,0.39282735613010844
102,20000104,signal_RR_1d,fret_RR_3d,qr_75,hit_ratio,0.49642105263157893
103,20000104,signal_RR_1d,fret_MR_3d,qr_75,hit_ratio,0.3991578947368421
104,20000104,signal_RR_1d,fret_RR_1d,qr_50,hit_ratio,0.5609756097560976
105,20000104,signal_RR_1d,fret_MR_1d,qr_50,hit_ratio,0.37335834896810505
106,20000104,signal_RR_1d,fret_RR_3d,qr_50,hit_ratio,0.5006321112515802
107,20000104,signal_RR_1d,fret_MR_3d,qr_50,hit_ratio,0.38242730720606827
108,20000104,signal_RR_1d,fret_RR_1d,qr_25,hit_ratio,0.53625
109,20000104,signal_RR_1d,fret_MR_1d,qr_25,hit_ratio,0.385
110,20000104,signal_RR_1d,fret_RR_3d,qr_25,hit_ratio,0.5056890012642224
111,20000104,signal_RR_1d,fret_MR_3d,qr_25,hit_ratio,0.40707964601769914
112,20000104,signal_MR_1d,fret_RR_1d,qr_100,hit_ratio,0.30966531122927743
113,20000104,signal_MR_1d,fret_MR_1d,qr_100,hit_ratio,0.6546762589928058
114,20000104,signal_MR_1d,fret_RR_3d,qr_100,hit_ratio,0.4533670565918432
115,20000104,signal_MR_1d,fret_MR_3d,qr_100,hit_ratio,0.6531773632627252
116,20000104,signal_MR_1d,fret_RR_1d,qr_75,hit_ratio,0.2848206839032527
117,20000104,signal_MR_1d,fret_MR_1d,qr_75,hit_ratio,0.695162635529608
118,20000104,signal_MR_1d,fret_RR_3d,qr_75,hit_ratio,0.44814502529510963
119,20000104,signal_MR_1d,fret_MR_3d,qr_75,hit_ratio,0.6842327150084317
120,20000104,signal_MR_1d,fret_RR_1d,qr_50,hit_ratio,0.26391494684177613
121,20000104,signal_MR_1d,fret_MR_1d,qr_50,hit_ratio,0.7335834896810507
122,20000104,signal_MR_1d,fret_RR_3d,qr_50,hit_ratio,0.4367888748419722
123,20000104,signal_MR_1d,fret_MR_3d,qr_50,hit_ratio,0.7142857142857143
124,20000104,signal_MR_1d,fret_RR_1d,qr_25,hit_ratio,0.27375
125,20000104,signal_MR_1d,fret_MR_1d,qr_25,hit_ratio,0.73875
126,20000104,signal_MR_1d,fret_RR_3d,qr_25,hit_ratio,0.44627054361567636
127,20000104,signal_MR_1d,fret_MR_3d,qr_25,hit_ratio,0.7155499367888748
128,20000104,signal_RR_1d,fret_RR_1d,qr_100,long_ratio,0.302158273381295
129,20000104,signal_RR_1d,fret_MR_1d,qr_100,long_ratio,0.302158273381295
130,20000104,signal_RR_1d,fret_RR_3d,qr_100,long_ratio,0.302560859943092
131,20000104,signal_RR_1d,fret_MR_3d,qr_100,long_ratio,0.302560859943092
132,20000104,signal_RR_1d,fret_RR_1d,qr_75,long_ratio,0.3019182652210175
133,20000104,signal_RR_1d,fret_MR_1d,qr_75,long_ratio,0.3019182652210175
134,20000104,signal_RR_1d,fret_RR_3d,qr_75,long_ratio,0.30273684210526314
135,20000104,signal_RR_1d,fret_MR_3d,qr_75,long_ratio,0.30273684210526314
136,20000104,signal_RR_1d,fret_RR_1d,qr_50,long_ratio,0.2695434646654159
137,20000104,signal_RR_1d,fret_MR_1d,qr_50,long_ratio,0.2695434646654159
138,20000104,signal_RR_1d,fret_RR_3d,qr_50,long_ratio,0.27054361567635904
139,20000104,signal_RR_1d,fret_MR_3d,qr_50,long_ratio,0.27054361567635904
140,20000104,signal_RR_1d,fret_RR_1d,qr_25,long_ratio,0.30625
141,20000104,signal_RR_1d,fret_MR_1d,qr_25,long_ratio,0.30625
142,20000104,signal_RR_1d,fret_RR_3d,qr_25,long_ratio,0.30973451327433627
143,20000104,signal_RR_1d,fret_MR_3d,qr_25,long_ratio,0.30973451327433627
144,20000104,signal_MR_1d,fret_RR_1d,qr_100,long_ratio,0.7988739443228027
145,20000104,signal_MR_1d,fret_MR_1d,qr_100,long_ratio,0.7988739443228027
146,20000104,signal_MR_1d,fret_RR_3d,qr_100,long_ratio,0.7986089155864685
147,20000104,signal_MR_1d,fret_MR_3d,qr_100,long_ratio,0.7986089155864685
148,20000104,signal_MR_1d,fret_RR_1d,qr_75,long_ratio,0.8590492076730609
149,20000104,signal_MR_1d,fret_MR_1d,qr_75,long_ratio,0.8590492076730609
150,20000104,signal_MR_1d,fret_RR_3d,qr_75,long_ratio,0.8591905564924115
151,20000104,signal_MR_1d,fret_MR_3d,qr_75,long_ratio,0.8591905564924115
152,20000104,signal_MR_1d,fret_RR_1d,qr_50,long_ratio,0.908692933083177
