"","ticker","open","high","low","close","volume","OPCL","pvCLCL","prevAdjClose","SPpvCLCL","sharesOut","PERMNO","SICCD","PERMCO","prevRawOpen","prevRawClose","prevAdjOpen"
"1","SPY",245.98,251.21001,245.95,250.17999,126925199,0.01693,0.00104,249.92,0.001269,985582,84398,"6726",46699,249.56,249.92,249.56
"2","IWM",132.17,135.17,131.53999,134.66,27295132,0.018664,0.005676,133.9,0.001269,305000,88222,"6726",37493,133.72,133.89999,133.72
"3","EEM",38.59,39.185,38.575,39.16,57198837,0.014663,0.00256,39.06,0.001269,748350,89730,"6726",37493,39.5,39.06,39.5
"4","TLT",121.66,122.16,121.3401,122.15,19834833,0.00402,0.005267,121.51,0.001269,81600,89468,"6726",37493,120.65,121.51,120.65
"5","USO",9.42,10.0835,9.36,9.85,33102840,0.044636,0.019669,9.66,0.001269,128100,91208,"6221",50617,9.63,9.66,9.63
"6","GLD",121.35,121.75,120.88,121.33,12776155,-0.000165,0.00066,121.25,0.001269,267800,90448,"6726",45874,120.98,121.25,120.98
"7","XLF",23.47,24.07,23.4,24.02,62944991,0.023164,0.008396,23.82,0.001269,967695,86455,"6726",34957,23.72,23.82,23.72
"8","XLB",49.78,50.97,49.5,50.78,9096305,0.019889,0.005146,50.52,0.001269,72074,86449,"6726",34957,50.27,50.52,50.27
"9","XLK",60.71,62.39,60.63,62.02,15442924,0.021348,0.000645,61.98,0.001269,280756,86457,"6726",34957,61.93,61.98,61.93
"10","XLV",85.18,85.83,84.27,85.2,14179948,0.000235,-0.015143,86.51,0.001269,209065,86451,"6726",34957,85.73,86.51,85.73
"11","XLI",63.46,64.79,63.09,64.74,14687529,0.019969,0.005123,64.41,0.001269,153926,86456,"6726",34957,64.15,64.41,64.15
"12","XLU",52.71,52.76,51.7,52.01,25173884,-0.013369,-0.017196,52.92,0.001269,159874,86458,"6726",34957,52.85,52.92,52.85
"13","XLY",97.32,100.32,96.79,99.76,6840764,0.024763,0.007575,99.01,0.001269,119253,86453,"6726",34957,98.78,99.01,98.78
"14","XLP",50.24,50.64,49.95,50.48,20459341,0.004766,-0.005908,50.78,0.001269,189622,86452,"6726",34957,50.7,50.78,50.7
"15","XLE",56.44,58.87,56.1511,58.48,24892646,0.035507,0.019704,57.35,0.001269,234974,86454,"6726",34957,57.56,57.35,57.56
"16","AA",25.955,26.847,25.48,26.24,3066951,0.010921,-0.012792,26.58,0.001269,186494,16347,"3334",55718,26.75,26.58,26.75
"17","AAC",1.4,1.76,1.33,1.63,380727,0.152108,0.164286,1.4,0.001269,24602,14945,"6799",55038,1.45,1.4,1.45
"18","AAL",31.46,32.65,31.05,32.48,5228460,0.031908,0.011523,32.11,0.001269,460611,21020,"4512",20010,32.09,32.11,32.09
"19","AAN",41.34,43.52,41.21,43.48,789569,0.050471,0.034007,42.05,0.001269,68595,10517,"7359",5674,42.29,42.05,42.29
